znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"947.00,72.061"	72.061	947
"948.00,72.099"	72.099	948
"949.00,72.099"	72.099	949
"950.00,72.066"	72.066	950
"951.00,72.029"	72.029	951
"952.00,71.985"	71.985	952
"953.00,72.007"	72.007	953
"954.00,72.078"	72.078	954
"955.00,72.084"	72.084	955
"956.00,72.086"	72.086	956
"957.00,72.029"	72.029	957
"958.00,72.043"	72.043	958
"959.00,72.008"	72.008	959
"960.00,71.948"	71.948	960
"961.00,71.898"	71.898	961
"962.00,71.926"	71.926	962
"963.00,71.929"	71.929	963
"964.00,71.961"	71.961	964
"965.00,71.904"	71.904	965
"966.00,71.958"	71.958	966
"967.00,71.989"	71.989	967
"968.00,71.974"	71.974	968
"969.00,71.929"	71.929	969
"970.00,71.892"	71.892	970
"971.00,71.953"	71.953	971
"972.00,71.935"	71.935	972
"973.00,71.905"	71.905	973
"974.00,71.917"	71.917	974
"975.00,71.918"	71.918	975
"976.00,71.954"	71.954	976
"977.00,71.922"	71.922	977
"978.00,71.931"	71.931	978
"979.00,71.905"	71.905	979
"980.00,71.886"	71.886	980
"981.00,71.855"	71.855	981
"982.00,71.845"	71.845	982
"983.00,71.813"	71.813	983
"984.00,71.829"	71.829	984
"985.00,71.833"	71.833	985
"986.00,71.833"	71.833	986
"987.00,71.820"	71.82	987
"988.00,71.774"	71.774	988
"989.00,71.757"	71.757	989
"990.00,71.725"	71.725	990
"991.00,71.715"	71.715	991
"992.00,71.720"	71.72	992
"993.00,71.681"	71.681	993
"994.00,71.685"	71.685	994
"995.00,71.634"	71.634	995
"996.00,71.662"	71.662	996
"997.00,71.607"	71.607	997
"998.00,71.575"	71.575	998
"999.00,71.543"	71.543	999
"1000.00,71.510"	71.51	1000
"1001.00,71.519"	71.519	1001
"1002.00,71.457"	71.457	1002
"1003.00,71.448"	71.448	1003
"1004.00,71.414"	71.414	1004
"1005.00,71.414"	71.414	1005
"1006.00,71.408"	71.408	1006
"1007.00,71.401"	71.401	1007
"1008.00,71.387"	71.387	1008
"1009.00,71.385"	71.385	1009
"1010.00,71.333"	71.333	1010
"1011.00,71.300"	71.3	1011
"1012.00,71.287"	71.287	1012
"1013.00,71.284"	71.284	1013
"1014.00,71.236"	71.236	1014
"1015.00,71.176"	71.176	1015
"1016.00,71.104"	71.104	1016
"1017.00,71.126"	71.126	1017
"1018.00,71.107"	71.107	1018
"1019.00,71.144"	71.144	1019
"1020.00,71.125"	71.125	1020
"1021.00,71.093"	71.093	1021
"1022.00,71.041"	71.041	1022
"1023.00,71.048"	71.048	1023
"1024.00,71.028"	71.028	1024
"1025.00,71.034"	71.034	1025
"1026.00,70.943"	70.943	1026
"1027.00,70.935"	70.935	1027
"1028.00,70.946"	70.946	1028
"1029.00,70.974"	70.974	1029
"1030.00,70.959"	70.959	1030
"1031.00,70.915"	70.915	1031
"1032.00,70.916"	70.916	1032
"1033.00,70.897"	70.897	1033
"1034.00,70.851"	70.851	1034
"1035.00,70.807"	70.807	1035
"1036.00,70.818"	70.818	1036
"1037.00,70.823"	70.823	1037
"1038.00,70.834"	70.834	1038
"1039.00,70.786"	70.786	1039
"1040.00,70.748"	70.748	1040
"1041.00,70.741"	70.741	1041
"1042.00,70.733"	70.733	1042
"1043.00,70.745"	70.745	1043
"1044.00,70.705"	70.705	1044
"1045.00,70.696"	70.696	1045
"1046.00,70.647"	70.647	1046
"1047.00,70.635"	70.635	1047
"1048.00,70.608"	70.608	1048
"1049.00,70.626"	70.626	1049
"1050.00,70.577"	70.577	1050
"1051.00,70.573"	70.573	1051
"1052.00,70.567"	70.567	1052
"1053.00,70.579"	70.579	1053
"1054.00,70.540"	70.54	1054
"1055.00,70.518"	70.518	1055
"1056.00,70.533"	70.533	1056
"1057.00,70.533"	70.533	1057
"1058.00,70.538"	70.538	1058
"1059.00,70.499"	70.499	1059
"1060.00,70.499"	70.499	1060
"1061.00,70.454"	70.454	1061
"1062.00,70.432"	70.432	1062
"1063.00,70.397"	70.397	1063
"1064.00,70.407"	70.407	1064
"1065.00,70.391"	70.391	1065
"1066.00,70.362"	70.362	1066
"1067.00,70.360"	70.36	1067
"1068.00,70.351"	70.351	1068
"1069.00,70.373"	70.373	1069
"1070.00,70.331"	70.331	1070
"1071.00,70.297"	70.297	1071
"1072.00,70.333"	70.333	1072
"1073.00,70.325"	70.325	1073
"1074.00,70.270"	70.27	1074
"1075.00,70.190"	70.19	1075
"1076.00,70.161"	70.161	1076
"1077.00,70.164"	70.164	1077
"1078.00,70.113"	70.113	1078
"1079.00,70.049"	70.049	1079
"1080.00,70.052"	70.052	1080
"1081.00,70.053"	70.053	1081
"1082.00,70.057"	70.057	1082
"1083.00,70.050"	70.05	1083
"1084.00,70.017"	70.017	1084
"1085.00,69.932"	69.932	1085
"1086.00,69.906"	69.906	1086
"1087.00,69.871"	69.871	1087
"1088.00,69.918"	69.918	1088
"1089.00,69.842"	69.842	1089
"1090.00,69.851"	69.851	1090
"1091.00,69.825"	69.825	1091
"1092.00,69.823"	69.823	1092
"1093.00,69.767"	69.767	1093
"1094.00,69.719"	69.719	1094
"1095.00,69.683"	69.683	1095
"1096.00,69.653"	69.653	1096
"1097.00,69.599"	69.599	1097
"1098.00,69.551"	69.551	1098
"1099.00,69.495"	69.495	1099
"1100.00,69.471"	69.471	1100
"1101.00,69.435"	69.435	1101
"1102.00,69.434"	69.434	1102
"1103.00,69.388"	69.388	1103
"1104.00,69.325"	69.325	1104
"1105.00,69.260"	69.26	1105
"1106.00,69.239"	69.239	1106
"1107.00,69.215"	69.215	1107
"1108.00,69.210"	69.21	1108
"1109.00,69.162"	69.162	1109
"1110.00,69.124"	69.124	1110
"1111.00,69.073"	69.073	1111
"1112.00,69.015"	69.015	1112
"1113.00,68.963"	68.963	1113
"1114.00,68.913"	68.913	1114
"1115.00,68.890"	68.89	1115
"1116.00,68.886"	68.886	1116
"1117.00,68.811"	68.811	1117
"1118.00,68.738"	68.738	1118
"1119.00,68.635"	68.635	1119
"1120.00,68.579"	68.579	1120
"1121.00,68.568"	68.568	1121
"1122.00,68.567"	68.567	1122
"1123.00,68.525"	68.525	1123
"1124.00,68.455"	68.455	1124
"1125.00,68.391"	68.391	1125
"1126.00,68.372"	68.372	1126
"1127.00,68.347"	68.347	1127
"1128.00,68.317"	68.317	1128
"1129.00,68.285"	68.285	1129
"1130.00,68.238"	68.238	1130
"1131.00,68.154"	68.154	1131
"1132.00,68.116"	68.116	1132
"1133.00,68.052"	68.052	1133
"1134.00,68.053"	68.053	1134
"1135.00,68.024"	68.024	1135
"1136.00,68.041"	68.041	1136
"1137.00,68.004"	68.004	1137
"1138.00,67.877"	67.877	1138
"1139.00,67.817"	67.817	1139
"1140.00,67.784"	67.784	1140
"1141.00,67.778"	67.778	1141
"1142.00,67.672"	67.672	1142
"1143.00,67.610"	67.61	1143
